trial,state,value,seconds,elapsed_s,running_best,model,strategy
150,PRUNED,0.42871573402999474,0.416971,109.286343,0.430874893281243,Logistic Regression,Optuna
151,PRUNED,0.4308203432197439,0.429609,109.767467,0.430874893281243,Logistic Regression,Optuna
152,COMPLETE,0.42884445782170727,0.812866,110.631184,0.430874893281243,Logistic Regression,Optuna
153,COMPLETE,0.42933454434732227,0.862686,111.543562,0.430874893281243,Logistic Regression,Optuna
154,PRUNED,0.42984232715093607,0.398525,111.994637,0.430874893281243,Logistic Regression,Optuna
155,COMPLETE,0.42931409195349285,0.768034,112.822142,0.430874893281243,Logistic Regression,Optuna
156,COMPLETE,0.4266499882865346,1.004276,113.877142,0.430874893281243,Logistic Regression,Optuna
157,COMPLETE,0.4287081510626365,0.812396,114.750568,0.430874893281243,Logistic Regression,Optuna
158,COMPLETE,0.4285952170110867,0.838331,115.639462,0.430874893281243,Logistic Regression,Optuna
159,COMPLETE,0.4219739804011033,0.693541,116.384162,0.430874893281243,Logistic Regression,Optuna
160,PRUNED,0.42762455884471157,0.510842,116.950415,0.430874893281243,Logistic Regression,Optuna
161,COMPLETE,0.4291941789052574,0.815513,117.818356,0.430874893281243,Logistic Regression,Optuna
162,COMPLETE,0.4293645979099026,0.768528,118.636649,0.430874893281243,Logistic Regression,Optuna
163,PRUNED,0.4308238231819818,0.427601,119.116696,0.430874893281243,Logistic Regression,Optuna
164,COMPLETE,0.42896589123101664,0.847082,120.015095,0.430874893281243,Logistic Regression,Optuna
165,PRUNED,0.42948040203524895,0.398454,120.464373,0.430874893281243,Logistic Regression,Optuna
166,COMPLETE,0.42874340739586203,0.818933,121.333939,0.430874893281243,Logistic Regression,Optuna
167,PRUNED,0.42978892168244054,0.393351,121.776797,0.430874893281243,Logistic Regression,Optuna
168,COMPLETE,0.4292833977138703,0.85276,122.681116,0.430874893281243,Logistic Regression,Optuna
169,COMPLETE,0.428192267585763,0.721705,123.452896,0.430874893281243,Logistic Regression,Optuna
170,PRUNED,0.4296940108958407,0.525316,124.048568,0.430874893281243,Logistic Regression,Optuna
171,COMPLETE,0.42930983940375295,0.827189,124.925821,0.430874893281243,Logistic Regression,Optuna
172,PRUNED,0.4309125596044331,0.41509,125.394561,0.4309125596044331,Logistic Regression,Optuna
173,COMPLETE,0.42934666508252106,0.769933,126.214052,0.4309125596044331,Logistic Regression,Optuna
174,COMPLETE,0.42908867727017436,0.797471,127.061897,0.4309125596044331,Logistic Regression,Optuna
175,COMPLETE,0.4264174883871914,0.718296,127.837131,0.4309125596044331,Logistic Regression,Optuna
176,COMPLETE,0.4291394331113285,0.787174,128.675598,0.4309125596044331,Logistic Regression,Optuna
177,PRUNED,0.43011011860369647,0.428367,129.154023,0.4309125596044331,Logistic Regression,Optuna
178,PRUNED,0.4296721776680613,0.465986,129.671354,0.4309125596044331,Logistic Regression,Optuna
179,COMPLETE,0.4290253619082583,0.790773,130.515874,0.4309125596044331,Logistic Regression,Optuna
180,COMPLETE,0.42870909337614077,0.872884,131.438237,0.4309125596044331,Logistic Regression,Optuna
181,COMPLETE,0.4290813611982,0.739052,132.226966,0.4309125596044331,Logistic Regression,Optuna
182,COMPLETE,0.4291996616647727,0.82653,133.104369,0.4309125596044331,Logistic Regression,Optuna
183,COMPLETE,0.42804407633913416,0.705541,133.863021,0.4309125596044331,Logistic Regression,Optuna
184,COMPLETE,0.42912817499559425,0.791729,134.706045,0.4309125596044331,Logistic Regression,Optuna
185,PRUNED,0.4307770551737178,0.43691,135.193692,0.4309125596044331,Logistic Regression,Optuna
186,COMPLETE,0.413763910168524,0.685264,135.93103,0.4309125596044331,Logistic Regression,Optuna
187,PRUNED,0.4306547048706716,0.45557,136.438037,0.4309125596044331,Logistic Regression,Optuna
188,COMPLETE,0.4284845999981262,0.738713,137.227831,0.4309125596044331,Logistic Regression,Optuna
189,COMPLETE,0.4291242245727902,0.867738,138.148128,0.4309125596044331,Logistic Regression,Optuna
190,PRUNED,0.4300109450863608,0.397244,138.597468,0.4309125596044331,Logistic Regression,Optuna
191,COMPLETE,0.4291663370741808,0.807671,139.455138,0.4309125596044331,Logistic Regression,Optuna
192,PRUNED,0.4308348344501085,0.41865,139.925855,0.4309125596044331,Logistic Regression,Optuna
193,PRUNED,0.43061839535492624,0.464014,140.440274,0.4309125596044331,Logistic Regression,Optuna
194,PRUNED,0.4284478767196851,0.402858,140.900068,0.4309125596044331,Logistic Regression,Optuna
195,PRUNED,0.42732159232357547,0.452153,141.402988,0.4309125596044331,Logistic Regression,Optuna
196,COMPLETE,0.4291903522615035,0.788755,142.244467,0.4309125596044331,Logistic Regression,Optuna
197,COMPLETE,0.4286083931789208,0.731742,143.026717,0.4309125596044331,Logistic Regression,Optuna
198,PRUNED,0.42990893535601,0.499602,143.578925,0.4309125596044331,Logistic Regression,Optuna
199,COMPLETE,0.42918235159664125,0.783848,144.413744,0.4309125596044331,Logistic Regression,Optuna
200,PRUNED,0.4264646648565852,0.376018,144.841299,0.4309125596044331,Logistic Regression,Optuna
201,COMPLETE,0.4289867514845853,0.825993,145.717978,0.4309125596044331,Logistic Regression,Optuna
202,COMPLETE,0.4291148929508796,0.823971,146.595588,0.4309125596044331,Logistic Regression,Optuna
203,COMPLETE,0.4292045516222733,0.841629,147.487575,0.4309125596044331,Logistic Regression,Optuna
204,COMPLETE,0.4281809019897736,0.889814,148.434799,0.4309125596044331,Logistic Regression,Optuna
205,PRUNED,0.43086123725426667,0.414713,148.902146,0.4309125596044331,Logistic Regression,Optuna
206,COMPLETE,0.42870663598258213,0.747032,149.701339,0.4309125596044331,Logistic Regression,Optuna
207,PRUNED,0.4305888752870994,0.436727,150.188186,0.4309125596044331,Logistic Regression,Optuna
208,COMPLETE,0.4293292302418747,0.768261,151.006904,0.4309125596044331,Logistic Regression,Optuna
209,PRUNED,0.42581002886508046,0.42254,151.484128,0.4309125596044331,Logistic Regression,Optuna
210,PRUNED,0.4300298175926805,0.414891,151.949506,0.4309125596044331,Logistic Regression,Optuna
211,COMPLETE,0.42915975241530296,0.767884,152.768548,0.4309125596044331,Logistic Regression,Optuna
212,COMPLETE,0.42928094548468393,0.785399,153.603788,0.4309125596044331,Logistic Regression,Optuna
213,COMPLETE,0.42910662198113564,0.84376,154.501333,0.4309125596044331,Logistic Regression,Optuna
214,PRUNED,0.42963662895046867,0.384583,154.935966,0.4309125596044331,Logistic Regression,Optuna
215,COMPLETE,0.42707519227295565,0.930512,155.917123,0.4309125596044331,Logistic Regression,Optuna
216,COMPLETE,0.4292086738617893,0.830345,156.79866,0.4309125596044331,Logistic Regression,Optuna
217,COMPLETE,0.4277277703295439,0.715034,157.565075,0.4309125596044331,Logistic Regression,Optuna
218,COMPLETE,0.42882294085711675,0.828123,158.444858,0.4309125596044331,Logistic Regression,Optuna
219,COMPLETE,0.4292606955578458,0.788541,159.2834,0.4309125596044331,Logistic Regression,Optuna
220,PRUNED,0.4307364105150416,0.464218,159.80523,0.4309125596044331,Logistic Regression,Optuna
221,PRUNED,0.430363568724745,0.407729,160.26319,0.4309125596044331,Logistic Regression,Optuna
222,COMPLETE,0.4292786607559549,0.73803,161.051786,0.4309125596044331,Logistic Regression,Optuna
223,PRUNED,0.4264841472942308,0.378283,161.480332,0.4309125596044331,Logistic Regression,Optuna
224,COMPLETE,0.4288792517632742,0.861212,162.393646,0.4309125596044331,Logistic Regression,Optuna
225,COMPLETE,0.4292550945175131,0.762037,163.206599,0.4309125596044331,Logistic Regression,Optuna
226,COMPLETE,0.4283631428003673,0.872209,164.128956,0.4309125596044331,Logistic Regression,Optuna
227,PRUNED,0.4272441164449735,0.412516,164.593937,0.4309125596044331,Logistic Regression,Optuna
228,COMPLETE,0.42934276354485174,0.768347,165.415606,0.4309125596044331,Logistic Regression,Optuna
229,COMPLETE,0.4292240693740903,0.784517,166.25102,0.4309125596044331,Logistic Regression,Optuna
230,PRUNED,0.430689262479953,0.391301,166.706564,0.4309125596044331,Logistic Regression,Optuna
231,COMPLETE,0.42918753933050774,0.82456,167.584576,0.4309125596044331,Logistic Regression,Optuna
232,PRUNED,0.4300052381093874,0.38963,168.025107,0.4309125596044331,Logistic Regression,Optuna
233,COMPLETE,0.42819883762086713,0.849521,168.937912,0.4309125596044331,Logistic Regression,Optuna
234,COMPLETE,0.42931097016902536,0.829259,169.817771,0.4309125596044331,Logistic Regression,Optuna
235,PRUNED,0.4263027217728052,0.391888,170.262659,0.4309125596044331,Logistic Regression,Optuna
236,COMPLETE,0.42919853374466554,0.796628,171.109985,0.4309125596044331,Logistic Regression,Optuna
237,COMPLETE,0.4293165686920253,0.753501,171.913119,0.4309125596044331,Logistic Regression,Optuna
238,PRUNED,0.4287749648574219,0.452283,172.417417,0.4309125596044331,Logistic Regression,Optuna
239,COMPLETE,0.4293070134391925,0.775689,173.245217,0.4309125596044331,Logistic Regression,Optuna
240,COMPLETE,0.4293028555787261,0.745289,174.041572,0.4309125596044331,Logistic Regression,Optuna
241,PRUNED,0.43076005211979573,0.423326,174.516184,0.4309125596044331,Logistic Regression,Optuna
242,COMPLETE,0.4292949596123387,0.840289,175.40757,0.4309125596044331,Logistic Regression,Optuna
243,PRUNED,0.42549597988489235,0.445745,175.9088,0.4309125596044331,Logistic Regression,Optuna
244,PRUNED,0.43091227210786465,0.443192,176.402754,0.4309125596044331,Logistic Regression,Optuna
245,PRUNED,0.43084202870375987,0.399593,176.858418,0.4309125596044331,Logistic Regression,Optuna
246,COMPLETE,0.42931157792782776,0.778898,177.688627,0.4309125596044331,Logistic Regression,Optuna
247,COMPLETE,0.42821420872204136,0.865392,178.60625,0.4309125596044331,Logistic Regression,Optuna
248,PRUNED,0.43084412935016475,0.400112,179.057349,0.4309125596044331,Logistic Regression,Optuna
249,COMPLETE,0.42884177547814933,0.913796,180.022265,0.4309125596044331,Logistic Regression,Optuna
250,COMPLETE,0.42582365531531413,0.738101,180.813106,0.4309125596044331,Logistic Regression,Optuna
251,COMPLETE,0.4293462060061894,0.773529,181.637656,0.4309125596044331,Logistic Regression,Optuna
252,COMPLETE,0.42926074759512073,0.766525,182.454778,0.4309125596044331,Logistic Regression,Optuna
253,COMPLETE,0.42732536384960906,0.955131,183.462654,0.4309125596044331,Logistic Regression,Optuna
254,PRUNED,0.4304709048016852,0.389885,183.903795,0.4309125596044331,Logistic Regression,Optuna
255,PRUNED,0.4280305435455203,0.482889,184.436376,0.4309125596044331,Logistic Regression,Optuna
256,COMPLETE,0.4287760129025164,0.863269,185.349627,0.4309125596044331,Logistic Regression,Optuna
257,PRUNED,0.42698106509760836,0.425833,185.828208,0.4309125596044331,Logistic Regression,Optuna
258,COMPLETE,0.42920224641048293,0.782098,186.662673,0.4309125596044331,Logistic Regression,Optuna
259,COMPLETE,0.4289893675579333,0.738104,187.452448,0.4309125596044331,Logistic Regression,Optuna
260,COMPLETE,0.42870912266866545,0.873745,188.376465,0.4309125596044331,Logistic Regression,Optuna
261,COMPLETE,0.4284163670523709,0.730976,189.159034,0.4309125596044331,Logistic Regression,Optuna
262,COMPLETE,0.4290424127541181,0.820634,190.030699,0.4309125596044331,Logistic Regression,Optuna
263,COMPLETE,0.42891598122707336,0.758968,190.840891,0.4309125596044331,Logistic Regression,Optuna
264,COMPLETE,0.41585129160657175,0.674265,191.574983,0.4309125596044331,Logistic Regression,Optuna
265,PRUNED,0.43062510533672427,0.472143,192.101406,0.4309125596044331,Logistic Regression,Optuna
266,PRUNED,0.43075092950812804,0.400617,192.551806,0.4309125596044331,Logistic Regression,Optuna
267,COMPLETE,0.4291400080063504,0.80875,193.411253,0.4309125596044331,Logistic Regression,Optuna
268,COMPLETE,0.4275713237766244,0.723543,194.187476,0.4309125596044331,Logistic Regression,Optuna
269,COMPLETE,0.4271106647144842,0.951511,195.190478,0.4309125596044331,Logistic Regression,Optuna
270,COMPLETE,0.4291289337338052,0.831978,196.073908,0.4309125596044331,Logistic Regression,Optuna
271,PRUNED,0.4300112717042896,0.432988,196.559695,0.4309125596044331,Logistic Regression,Optuna
272,COMPLETE,0.4289332604214791,0.820679,197.433523,0.4309125596044331,Logistic Regression,Optuna
273,PRUNED,0.4283995247483713,0.379551,197.863231,0.4309125596044331,Logistic Regression,Optuna
274,COMPLETE,0.42919807062418,0.825161,198.73862,0.4309125596044331,Logistic Regression,Optuna
275,COMPLETE,0.4290630548238597,0.764967,199.555622,0.4309125596044331,Logistic Regression,Optuna
276,COMPLETE,0.4275342101306356,0.876558,200.483311,0.4309125596044331,Logistic Regression,Optuna
277,PRUNED,0.4308633738297113,0.40426,200.937106,0.4309125596044331,Logistic Regression,Optuna
278,COMPLETE,0.4242938287598796,0.762971,201.75095,0.4309125596044331,Logistic Regression,Optuna
279,COMPLETE,0.4290174834998964,0.81286,202.615138,0.4309125596044331,Logistic Regression,Optuna
280,COMPLETE,0.428909713614738,0.735654,203.400591,0.4309125596044331,Logistic Regression,Optuna
281,COMPLETE,0.4288750684542734,0.838546,204.289475,0.4309125596044331,Logistic Regression,Optuna
